ip,domains,product,last_seen
93.71.143.16,"['net-93-71-143-16.cust.vodafonedsl.it', 'francodp.dyndns.tv']",Brute Ratel C4,2025-05-21
167.99.137.218,[],Brute Ratel C4,2025-05-21
3.36.144.103,"['ec2-3-36-144-103.ap-northeast-2.compute.amazonaws.com', 'commapi.gamemarket.kr']",Brute Ratel C4,2025-05-21
196.251.116.59,[],AsyncRAT,2025-05-21
52.206.75.14,['ec2-52-206-75-14.compute-1.amazonaws.com'],Metasploit,2025-05-21
101.200.183.130,[],Cobalt Strike,2025-05-21
60.205.183.232,[],Cobalt Strike,2025-05-21
134.209.93.110,[],Sliver,2025-05-21
47.109.90.134,[],Cobalt Strike,2025-05-21
43.143.114.43,[],Cobalt Strike,2025-05-21
94.191.187.105,['94.191.187.105.mobile.tre.se'],Gh0st RAT Trojan,2025-05-21
161.35.40.73,[],Sliver,2025-05-21
166.108.207.55,['ecs-166-108-207-55.compute.hwclouds-dns.com'],Havoc,2025-05-21
185.62.87.191,[],AsyncRAT,2025-05-21
13.247.66.80,['ec2-13-247-66-80.af-south-1.compute.amazonaws.com'],Metasploit,2025-05-21
47.52.142.159,['test.pandanc.com'],Panda C2,2025-05-21
18.227.114.87,['ec2-18-227-114-87.us-east-2.compute.amazonaws.com'],Metasploit,2025-05-21
157.230.118.220,[],Hak5 Cloud C2,2025-05-21
54.219.206.191,['ec2-54-219-206-191.us-west-1.compute.amazonaws.com'],NetBus Trojan,2025-05-21
213.209.143.57,[],NanoCore RAT Trojan,2025-05-21
47.76.177.218,[],Quasar RAT,2025-05-21
8.152.194.88,[],Cobalt Strike,2025-05-21
43.139.204.206,[],Cobalt Strike,2025-05-21
47.109.177.97,[],Cobalt Strike,2025-05-21
120.76.200.78,[],Panda C2,2025-05-21
8.141.166.236,[],Cobalt Strike,2025-05-21
93.105.1.235,['093105001235.gubin.vectranet.pl'],DarkComet Trojan,2025-05-21
8.148.224.96,[],Cobalt Strike C2,2025-05-21
124.222.81.106,[],Cobalt Strike,2025-05-21
47.109.201.173,[],Cobalt Strike,2025-05-21
47.100.168.4,[],Cobalt Strike,2025-05-21
172.105.180.232,['172-105-180-232.ip.linodeusercontent.com'],Sliver,2025-05-21
159.75.84.224,[],Cobalt Strike,2025-05-21
47.100.65.202,"['flyert.com.cn', 'www.flyert.com.cn']",Panda C2,2025-05-21
18.163.128.190,['ec2-18-163-128-190.ap-east-1.compute.amazonaws.com'],Metasploit,2025-05-21
207.231.109.20,[],Cobalt Strike,2025-05-21
3.249.3.221,['ec2-3-249-3-221.eu-west-1.compute.amazonaws.com'],Metasploit,2025-05-21
39.98.135.223,"['lilinchao.com', 'www.lilinchao.com']",Panda C2,2025-05-21
43.139.233.218,[],Cobalt Strike C2,2025-05-21
103.45.68.150,[],DcRat,2025-05-21
106.54.238.71,[],Cobalt Strike,2025-05-21
222.253.182.185,['static.vnpt.vn'],Quasar RAT,2025-05-21
16.78.90.50,['ec2-16-78-90-50.ap-southeast-3.compute.amazonaws.com'],Metasploit,2025-05-21
117.25.28.1,[],Panda C2,2025-05-21
102.117.162.146,[],Mythic,2025-05-21
47.98.134.252,['resource-shanghai6.oss-cn-shanghai.aliyuncs.com'],Cobalt Strike,2025-05-21
185.124.166.20,[],DarkComet Trojan,2025-05-21
